"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"235",10,"Green Bay Packers",GB,"DST13","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"236",10,"Andy Borregales",NE,"K10","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"237",10,"Detroit Lions",DET,"DST14","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"238",10,"Fernando Mendoza",LV,"QB30","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-68"
"239",10,"Evan McPherson",CIN,"K11","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"240",10,"Ollie Gordon II",MIA,"RB68","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+20"
"241",10,"Buffalo Bills",BUF,"DST15","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"242",10,"Justice Hill",BAL,"RB69","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-22"
"243",10,"Harrison Mevis",LAR,"K12","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"244",10,"Jack Bech",LV,"WR88","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+3"
"245",10,"Oscar Delp",NO,"TE31","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+54"
"246",10,"Chase McLaughlin",TB,"K13","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"247",10,"Elic Ayomanor",TEN,"WR89","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+33"
"248",10,"Keon Coleman",BUF,"WR90","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-20"
"249",10,"Cleveland Browns",CLE,"DST16","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"250",10,"Harrison Butker",KC,"K14","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"251",10,"Brandon Aiyuk",SF,"WR91","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-51"
"252",10,"Christian Kirk",SF,"WR92","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-36"
"253",10,"Elijah Sarratt",BAL,"WR93","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-23"
"254",10,"Evan Engram",DEN,"TE32","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-20"
"255",10,"Tua Tagovailoa",ATL,"QB31","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-51"
"256",10,"Chris Bell",MIA,"WR94","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-37"
"257",10,"Eli Stowers",PHI,"TE33","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-61"
"258",10,"Chris Brooks",GB,"RB70","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+4"
"259",10,"Malik Davis",DAL,"RB71","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+32"
"260",10,"Chris Boswell",PIT,"K15","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"261",10,"Jaydon Blue",DAL,"RB72","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-58"
"262",10,"Tyquan Thornton",KC,"WR95","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-18"
"263",10,"DJ Giddens",IND,"RB73","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-25"
"264",10,"Tory Horton",SEA,"WR96","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-21"
"265",10,"Ty Johnson",BUF,"RB74","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-17"
"266",10,"Jordan James",SF,"RB75","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-48"
"267",10,"Wil Lutz",DEN,"K16","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"268",10,"Chris Brazzell II",CAR,"WR97","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-36"
"269",10,"Demond Claiborne",MIN,"RB76","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-58"
"270",10,"Trey Benson",ARI,"RB77","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-20"
"271",10,"Samaje Perine",CIN,"RB78","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-26"
"272",10,"Malachi Fields",NYG,"WR98","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-58"
"273",10,"George Holani",SEA,"RB79","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-42"
"274",10,"Darius Slayton",NYG,"WR99","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-2"
"275",10,"Tyreek Hill",FA,"WR100","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-95"
"276",10,"Michael Penix Jr.",ATL,"QB32","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-52"
"277",10,"Devin Neal",NO,"RB80","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+7"
"278",11,"Marvin Mims Jr.",DEN,"WR101","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-21"
"279",11,"Kaleb Johnson",PIT,"RB81","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-27"
"280",11,"Isaiah Davis",NYJ,"RB82","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+46"
"281",11,"LeQuint Allen Jr.",JAC,"RB83","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-3"
"282",11,"Devaughn Vele",NO,"WR102","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-43"
"283",11,"Xavier Legette",CAR,"WR103","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+14"
"284",11,"Theo Johnson",NYG,"TE34","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-74"
"285",11,"Greg Dulcich",MIA,"TE35","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-95"
"286",11,"Mason Taylor",NYJ,"TE36","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-37"
"287",11,"Will Reichard",MIN,"K17","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"288",11,"Shedeur Sanders",CLE,"QB33","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-73"
"289",11,"Kaelon Black",SF,"RB84","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-48"
"290",11,"Hollywood Brown",PHI,"WR104","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-24"
"291",11,"Kendre Miller",NO,"RB85","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-35"
"292",11,"Kirk Cousins",LV,"QB34","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-50"
"293",11,"Emari Demercado",KC,"RB86","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-20"
"294",11,"Mack Hollins",NE,"WR105","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+30"
"295",11,"Atlanta Falcons",ATL,"DST17","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"296",11,"Devin Singletary",NYG,"RB87","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-27"
"297",11,"Brashard Smith",KC,"RB88","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-39"
"298",11,"Keenan Allen",LAC,"WR106","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-62"
"299",11,"Deshaun Watson",CLE,"QB35","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-62"
"300",11,"Kyle Williams",NE,"WR107","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-39"
"301",11,"Najee Harris",LAC,"RB89","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-26"
"302",11,"Adam Randall",BAL,"RB90","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-34"
"303",11,"San Francisco 49ers",SF,"DST18","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"304",11,"Jerome Ford",WAS,"RB91","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+47"
"305",11,"Trevor Etienne",CAR,"RB92","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","+33"
"306",11,"Charlie Smyth",NO,"K18","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"307",11,"Isaiah Bond",CLE,"WR108","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-13"
"308",11,"Tahj Brooks",CIN,"RB93","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+21"
"309",11,"Mike Gesicki",CIN,"TE37","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-76"
"310",11,"Jaleel McLaughlin",DEN,"RB94","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"311",11,"Ja'Kobi Lane",BAL,"WR109","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-76"
"312",11,"Isaac Guerendo",SF,"RB95","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+7"
"313",11,"Skyler Bell",BUF,"WR110","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-46"
"314",11,"Joe Mixon",FA,"RB96","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-61"
"315",11,"Indianapolis Colts",IND,"DST19","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"316",11,"Jarquez Hunter",LAR,"RB97","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-46"
"317",11,"Jake Tonges",SF,"TE38","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-95"
"318",11,"New Orleans Saints",NO,"DST20","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"319",11,"Chicago Bears",CHI,"DST21","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"320",11,"Audric Estime",NO,"RB98","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-55"
"321",11,"Andrei Iosivas",CIN,"WR111","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-66"
"322",12,"Kareem Hunt",FA,"RB99","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-41"
"323",12,"Will Shipley",PHI,"RB100","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+14"
"324",12,"Darnell Washington",PIT,"TE39","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-70"
"325",12,"Cedric Tillman",CLE,"WR112","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+42"
"326",12,"Jalen Royals",KC,"WR113","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+9"
"327",12,"Konata Mumpfield",LAR,"WR114","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","+23"
"328",12,"J.J. McCarthy",MIN,"QB36","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-54"
"329",12,"Tez Johnson",TB,"WR115","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-31"
"330",12,"Luke McCaffrey",WAS,"WR116","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+12"
"331",12,"Jahan Dotson",ATL,"WR117","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-48"
"332",12,"Calvin Austin III",NYG,"WR118","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+17"
"333",12,"Caleb Douglas",MIA,"WR119","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-74"
"334",12,"Max Klare",LAR,"TE40","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-58"
"335",12,"Elijah Arroyo",SEA,"TE41","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-47"
"336",12,"Olamide Zaccheaus",ATL,"WR120","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-3"
"337",12,"Jalen Tolbert",MIA,"WR121","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-86"
"338",12,"Noah Gray",KC,"TE42","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-24"
"339",12,"Eli Heidenreich",PIT,"RB101","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-16"
"340",12,"Michael Mayer",LV,"TE43","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-76"
"341",12,"Mac Jones",SF,"QB37","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-30"
"342",12,"Cole Kmet",CHI,"TE44","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-39"
"343",12,"Carson Beck",ARI,"QB38","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-72"
"344",12,"Joshua Palmer",BUF,"WR122","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-17"
"345",12,"Dawson Knox",BUF,"TE45","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-58"
"346",12,"Brenen Thompson",LAC,"WR123","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-56"
"347",12,"Tyler Higbee",LAR,"TE46","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+30"
"348",12,"Xavier Hutchinson",HOU,"WR124","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+23"
"349",12,"Dont'e Thornton Jr.",LV,"WR125","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-10"
"350",12,"Bam Knight",ARI,"RB102","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"351",12,"Bryce Lance",NO,"WR126","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-44"
"352",12,"Ja'Tavion Sanders",CAR,"TE47","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-66"
"353",12,"Justin Fields",KC,"QB39","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-90"
"354",12,"DeMario Douglas",NE,"WR127","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-29"
"355",12,"Carolina Panthers",CAR,"DST22","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"356",12,"John Metchie III",CAR,"WR128","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"357",12,"Kendrick Bourne",ARI,"WR129","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-51"
"358",12,"Jaylin Lane",WAS,"WR130","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-24"
"359",12,"J'Mari Taylor",JAC,"RB103","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-47"
"360",12,"Ty Simpson",LAR,"QB40","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-81"
"361",12,"Jawhar Jordan",HOU,"RB104","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-1"
"362",12,"Anthony Richardson Sr.",IND,"QB41","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-46"
"363",12,"Raheim Sanders",CLE,"RB105","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+36"
"364",12,"Noah Fant",NO,"TE48","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+8"
"365",12,"Treylon Burks",WAS,"WR131","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-61"
"366",12,"Justin Joly",DEN,"TE49","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-51"
"367",12,"Savion Williams",GB,"WR132","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-71"
"368",12,"Nick Westbrook-Ikhine",IND,"WR133","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-50"
"369",12,"Kalif Raymond",CHI,"WR134","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-67"
"370",12,"Nick Chubb",FA,"RB106","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"371",12,"Michael Carter",TEN,"RB107","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"372",12,"Eli Raridon",NE,"TE50","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-79"
"373",12,"Kevin Coleman Jr.",MIA,"WR135","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-68"
"374",12,"KaVontae Turpin",DAL,"WR136","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-79"
"375",12,"Zavion Thomas",CHI,"WR137","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-90"
"376",12,"Dallas Cowboys",DAL,"DST23","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"377",12,"Tutu Atwell",MIA,"WR138","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-85"
"378",12,"Jake Elliott",PHI,"K19","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"379",12,"Luke Musgrave",GB,"TE51","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-43"
"380",12,"Tyler Bass",BUF,"K20","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"381",12,"Zane Gonzalez",MIA,"K21","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"382",12,"Ben Sinnott",WAS,"TE52","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-3"
"383",13,"Erick All Jr.",CIN,"TE53","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-82"
"384",13,"Deion Burks",IND,"WR139","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-44"
"385",13,"Tommy Tremble",CAR,"TE54","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-27"
"386",13,"Jordan Whittington",LAR,"WR140","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-23"
"387",13,"Phil Mafah",DAL,"RB108","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-44"
"388",13,"Dameon Pierce",PHI,"RB109","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"389",13,"Cyrus Allen",KC,"WR141","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-89"
"390",13,"Austin Ekeler",FA,"RB110","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-144"
"391",13,"Cincinnati Bengals",CIN,"DST24","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"392",13,"New York Giants",NYG,"DST25","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"393",13,"Daniel Bellinger",TEN,"TE55","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-39"
"394",13,"Elijah Higgins",ARI,"TE56","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-42"
"395",13,"Tampa Bay Buccaneers",TB,"DST26","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"396",13,"Greg Dortch",DET,"WR142","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-34"
"397",13,"Mitchell Evans",CAR,"TE57","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-40"
"398",13,"Austin Hooper",ATL,"TE58","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"399",13,"Joe Flacco",CIN,"QB42","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-90"
"400",13,"Devontez Walker",BAL,"WR143","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-111"
"401",13,"Dyami Brown",WAS,"WR144","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-81"
"402",13,"Jam Miller",NE,"RB111","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"403",13,"CJ Daniels",LAR,"WR145","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-33"
"404",13,"Roschon Johnson",CHI,"RB112","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"405",13,"Trey Smack",GB,"K22","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"406",13,"Kyle Juszczyk",SF,"RB113","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-17"
"407",13,"Zach Ertz",FA,"TE59","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"408",13,"Damien Martinez",GB,"RB114","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"409",13,"Josh Oliver",MIN,"TE60","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-28"
"410",13,"Darren Waller",FA,"TE61","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","+1"
"411",13,"Jameis Winston",NYG,"QB43","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-46"
"412",13,"Marlin Klein",HOU,"TE62","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-27"
"413",13,"Tyler Lockett",LV,"WR146","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"414",13,"Jeremy McNichols",WAS,"RB115","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"415",13,"John Bates",WAS,"TE63","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"416",13,"Antonio Gibson",FA,"RB116","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"417",13,"Tommy Myers",FA,"TE64","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"418",13,"Zavier Scott",MIN,"RB117","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"419",13,"Joe Milton III",DAL,"QB44","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-26"
"420",13,"Rasheen Ali",BAL,"RB118","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"421",13,"Jonnu Smith",FA,"TE65","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-18"
"422",13,"Jaret Patterson",LAC,"RB119","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"423",13,"Odell Beckham Jr.",NYG,"WR147","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-115"
"424",13,"Marcus Mariota",WAS,"QB45","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-60"
"425",13,"Frank Gore Jr.",BUF,"RB120","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"426",13,"Terrell Jennings",NE,"RB121","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"427",13,"Colbie Young",CIN,"WR148","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-71"
"428",13,"Demarcus Robinson",SF,"WR149","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"429",13,"Charlie Kolar",LAC,"TE66","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-147"
"430",13,"Mitch Tinsley",CIN,"WR150","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-28"
"431",13,"Dylan Laube",LV,"RB122","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"432",13,"Malik Benson",LV,"WR151","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-119"
"433",13,"Adam Trautman",DEN,"TE67","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-46"
"434",13,"Ashton Dulin",IND,"WR152","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-113"
"435",13,"Miami Dolphins",MIA,"DST27","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"436",13,"Nate Boerkircher",JAC,"TE68","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"437",13,"Luke Schoonmaker",DAL,"TE69","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-57"
"438",13,"Mo Alie-Cox",IND,"TE70","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"439",13,"Jahdae Walker",CHI,"WR153","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-98"
"440",13,"Roman Wilson",PIT,"WR154","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-110"
"441",13,"Cade Klubnik",NYJ,"QB46","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-113"
"442",13,"Brandin Cooks",FA,"WR155","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-73"
